metric,value
method,LACM
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,71.2262
avg_reward_all,124.8305
avg_success_all,0.6575
avg_stage_ratio_all,0.7779
avg_steps_all,12.8375
avg_equivalent_env_steps_all,4108.0
avg_completion_time_steps_all,37.4635
avg_nominal_completion_time_seconds_all,104.0488
avg_latency_time_seconds_all,0.8211
avg_completion_time_seconds_all,104.8699
avg_normalized_completion_time_all,0.4683
avg_route_efficiency_all,4.5721
avg_progress_per_step_all,0.3429
avg_collisions_all,0.48
avg_violations_all,0.0
avg_unsafe_rate_all,0.48
avg_collision_rate_all,0.0538
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0538
avg_planner_accuracy_all,0.5178
avg_planner_miss_ratio_all,0.4822
avg_planner_legal_ratio_all,0.5509
avg_target_hits_all,2.25
avg_wait_time_all,0.2268
avg_stage_latency_seconds_all,0.2268
avg_latency_penalty_all,1.3138
avg_idle_ratio_all,0.4563
avg_wait_ratio_all,0.1885
avg_follow_ratio_all,0.5759
avg_select_ratio_all,0.1954
avg_compensation_utilization_all,0.7713
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6181
avg_critical_events_all,4.6807
avg_critical_safe_all,2.859
avg_risk_exposure_all,0.4929
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2837
avg_hazard_step_ratio_all,0.4682
avg_red_light_exposure_ratio_all,0.0573
avg_critical_event_rate_all,0.34
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6181
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.5794
avg_safety_entropy_all,0.0
total_equivalent_env_steps,16432000
